Category,Commodity,Test Type,Parameter,Units,Test Description,Compliance,Test TAT,Method,Key_Parameter,Min. Value,Max Value,Min FSSAI Acceptable Value,Max FSSAI Acceptable Value,Min FSSAI Acceptable Value - Organic,Max FSSAI Acceptable Value - Organic,Price,Key Parameter (For Organic),,"Category, Commodity, Parameter",,,,Unique Category,Unique Commodity,,
"Herbs, Spices & Condiments",Black Pepper Whole,Microbiology,"Yeast and Moulds, CFU/g",CFU/g,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100000000,0,10000,0,10000,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Yeast and Moulds, CFU/g",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Non-volatile ether extract on dry basis, %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,6,100,6,100,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Non-volatile ether extract on dry basis, %",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Bulk density, g/l",g/l,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,40000,400,1000,400,1000,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Bulk density, g/l",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Light berries,%",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,10,0,10,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Light berries,%",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Extraneous vegetable matter,%",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,50,0,2,0,2,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Extraneous vegetable matter,%",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Foreign matter,%",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,50,0,0.5,0,0.5,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Foreign matter,%",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Mouldy Berries, %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,50,0,3,0,3,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Mouldy Berries, %",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Insect defiled berries /Corns,%",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,2,0,2,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Insect defiled berries /Corns,%",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Mammalian or/and other excreta, (mg/kg)",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,200,0,2,0,2,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Mammalian or/and other excreta, (mg/kg)",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Pinheads for black pepper,%",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,4,0,4,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Pinheads for black pepper,%",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Adulterants,Artificial Colours,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,1000,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Artificial Colours",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Adulterants,Coal tar dyes,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,1000,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Coal tar dyes",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Adulterants,"Dirt, dust, straw, insect, damaged seeds, other seeds, rodent hair and excreta,%",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Dirt, dust, straw, insect, damaged seeds, other seeds, rodent hair and excreta,%",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Adulterants,Saw dust,%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Saw dust",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Adulterants,"Sand, dirt, earth, gritty matter, %",%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Sand, dirt, earth, gritty matter, %",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Adulterants,Starch powder,%,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Starch powder",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Acetamiprid, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,1,0,0.1,0,0.005,100,No,,"Herbs, Spices & Condiments Black Pepper Whole Acetamiprid, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Alpha naphthyl Acetic Acid, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Alpha naphthyl Acetic Acid, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Azoxystrobin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Azoxystrobin, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Buprofezin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Buprofezin, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Carbaryl, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Carbaryl, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Carbosulfan, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Carbosulfan, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Chlorantraniliprole, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Chlorantraniliprole, mg/kg",,,,,,,
